Bug ID,Description,Compiled,Crash Occurred
05d7520be047c9be86e0,KASAN: slab-out-of-bounds Read in journal_entry_dev_usage_to_text,✅,❌
0315f8fe99120601ba88,UBSAN: array-index-out-of-bounds in jfs_readdir,✅,❌
58c872f7790a4d2ac951,KASAN: slab-out-of-bounds Read in bitmap_ip_add,✅,❌
56f7cd1abe4b8e475180,UBSAN: shift-out-of-bounds in ocfs2_fill_super,✅,❌
b5ca8a249162c4b9a7d0,UBSAN: shift-out-of-bounds in dbSplit,✅,❌
412dea214d8baa3f7483,UBSAN: array-index-out-of-bounds in dbAdjTree,✅,❌
6cf5652d3df49fae2e3f,KASAN: use-after-free Read in netdev_unregister_kobject,❌,❌
65fa06e29859e41a83f3,UBSAN: array-index-out-of-bounds in dtReadFirst,✅,❌
4c0d0c4cde787116d465,KASAN: slab-use-after-free Write in sco_sock_timeout,✅,❌
9fc4dac4775d07bcfe34,KASAN: slab-use-after-free Read in bch2_reconstruct_alloc,✅,❌
b468b9fef56949c3b528,KASAN: null-ptr-deref Read in bch2_sb_set_upgrade_extra,✅,❌
7f45fa9805c40db3f108,UBSAN: shift-out-of-bounds in bch2_alloc_to_text,✅,❌
089fad5a3a5e77825426,UBSAN: shift-out-of-bounds in validate_sb_layout,✅,❌
7a4842f0b1801230a989,KASAN: slab-out-of-bounds Read in udf_get_filelongad,✅,❌
cc39f136925517aed571,UBSAN: shift-out-of-bounds in xfrm_selector_match,✅,❌
f8c98a50c323635be65d,UBSAN: shift-out-of-bounds in bch2_stripe_to_text,✅,❌
064ce437a1ad63d3f6ef,UBSAN: shift-out-of-bounds in member_to_text,✅,❌
b65e0af58423fc8a73aa,KASAN: slab-use-after-free Read in advance_sched,❌,❌
c12e2f941af1feb5632c,KASAN: slab-use-after-free Read in l2cap_connect,✅,❌
84fe685c02cd112a2ac3,KASAN: stack-out-of-bounds Read in profile_pc,✅,❌
808f3f84407f08a93022,UBSAN: array-index-out-of-bounds in dbNextAG,✅,❌
05b9b39d8bdfe1a0861f,KASAN: null-ptr-deref Write in jbd2_journal_update_sb_log_tail,✅,❌
f7a1c2c2711e4a780f19,KASAN: slab-use-after-free Read in __uprobe_unregister,❌,❌
0c2508114d912a54ee79,KASAN: use-after-free Read in ext4_search_dir,✅,❌
dca05492eff41f604890,UBSAN: array-index-out-of-bounds in dbSplit,✅,❌
e38d703eeb410b17b473,UBSAN: shift-out-of-bounds in dbFindBits,❌,❌
6c6c08700f9480c41fe3,KASAN: use-after-free Read in rtw_load_firmware_cb,✅,❌
3c010e21296f33a5dc16,KASAN: slab-use-after-free Read in dbFreeBits,✅,❌
1a8e2b31f2ac9bd3d148,KASAN: null-ptr-deref Write in f2fs_stop_gc_thread,✅,❌
8811381d455e3e9ec788,KASAN: slab-use-after-free Read in unix_stream_read_actor,✅,❌
f3fff775402751ebb471,UBSAN: shift-out-of-bounds in ocfs2_fill_super,✅,❌
ad7966ca1f5dd8b001b3,KASAN: slab-use-after-free Read in btrfs_cleanup_defrag_inodes,✅,❌
b72d86aa5df17ce74c60,KASAN: slab-use-after-free Read in kcm_release,✅,❌
47ecc948aadfb2ab3efc,KASAN: slab-out-of-bounds Write in bch2_dev_journal_init,✅,❌
24c0361074799d02c452,KASAN: slab-out-of-bounds Read in cougar_report_fixup,✅,❌
709e4c85c904bcd62735,KASAN: stack-out-of-bounds Read in xdp_do_check_flushed,✅,❌
707d98c8649695eaf329,UBSAN: array-index-out-of-bounds in bq_xmit_all,✅,❌
d79afb004be235636ee8,KASAN: slab-use-after-free Read in lru_add_fn,✅,❌
241c815bda521982cb49,UBSAN: array-index-out-of-bounds in diFree,✅,❌
b471b7c936301a59745b,KASAN: slab-use-after-free Read in l2tp_tunnel_del_work,✅,❌
74ebe2104433e9dc610d,KASAN: slab-use-after-free Read in sanity_check_extent_cache,❌,❌
61be3359d2ee3467e7e4,UBSAN: shift-out-of-bounds in dbDiscardAG,✅,❌
e5292b50f1957164a4b6,UBSAN: shift-out-of-bounds in bch2_bkey_format_invalid,✅,❌
c041b4ce3a6dfd1e63e2,KASAN: slab-use-after-free Write in l2tp_session_delete,✅,❌
78d5b129a762182225aa,UBSAN: shift-out-of-bounds in parse_audio_unit,✅,❌
17416257cb95200cba44,UBSAN: shift-out-of-bounds in try_to_shrink_lruvec,✅,❌
4fd66a69358fc15ae2ad,KASAN: slab-use-after-free Read in nf_tables_trans_destroy_work,✅,❌
a0d1f7e26910be4dc171,KASAN: slab-out-of-bounds Read in btrfs_qgroup_inherit,✅,❌
e6332ce6aa831184a0eb,UBSAN: shift-out-of-bounds in bch2_btree_node_read_done,✅,❌
9dfe490c8176301c1d06,KASAN: slab-out-of-bounds Read in ea_get,✅,❌
a2bc0e838efd7663f4d9,KASAN: slab-use-after-free Read in bch2_sb_errors_from_cpu,✅,❌
835d255ad6bc7f29ee12,UBSAN: shift-out-of-bounds in bch2_blacklist_entries_gc,✅,❌
253cd2d2491df77c93ac,KASAN: slab-out-of-bounds Read in cfg80211_wext_freq,✅,❌
249018ea545364f78d04,UBSAN: shift-out-of-bounds in bch2_sb_dev_has_data,✅,❌
d7c7a495a5e466c031b6,KASAN: slab-use-after-free Read in p9_fid_destroy,❌,❌
fff6b0fb00259873576a,KASAN: stack-out-of-bounds Read in __bch2_encrypt_bio,❌,❌
29f65db1a5fe427b5c56,UBSAN: shift-out-of-bounds in bch2_btree_lost_data,✅,❌
a0ddc9873c280a4cb18f,KASAN: slab-use-after-free Read in evict_inodes,✅,❌
3694e283cf5c40df6d14,KASAN: slab-out-of-bounds Read in f2fs_get_node_info,✅,❌
a8b0fb419355c91dda7f,UBSAN: shift-out-of-bounds in read_one_super,✅,❌
f3f3eef1d2100200e593,KASAN: slab-use-after-free Read in unix_del_edges,✅,❌
4139435cb1b34cf759c2,KASAN: slab-out-of-bounds Write in do_handle_open,✅,❌
ae4dc916da3ce51f284f,UBSAN: shift-out-of-bounds in __bch2_bkey_invalid,✅,❌
e49ccab73449180bc9be,KASAN: slab-out-of-bounds Read in bch2_sb_downgrade_to_text,✅,❌
5e3f9b2a67b45f16d4e6,KASAN: slab-use-after-free Read in fsnotify,❌,❌
c48865e11e7e893ec4ab,KASAN: slab-out-of-bounds Read in bch2_sb_clean_to_text,✅,❌
66b9b74f6520068596a9,KASAN: slab-out-of-bounds Read in bch2_varint_decode_fast,✅,❌
ecd7e07b4be038658c9f,KASAN: global-out-of-bounds Read in __nla_validate_parse,✅,❌
9833a1d29d4a44361e2c,UBSAN: shift-out-of-bounds in bch2_bkey_format_invalid,✅,❌
594427aebfefeebe91c6,UBSAN: shift-out-of-bounds in rewrite_old_nodes_pred,✅,❌
98edc2df894917b3431f,KASAN: slab-use-after-free Read in vhost_task_fn,✅,❌
9459b5d7fab774cf182f,BUG: unable to handle kernel paging request in hash,✅,❌
e5167d7144a62715044c,KASAN: slab-use-after-free Read in ip_skb_dst_mtu,❌,❌
9f6c56cf2d37f08a9a680f5bd59533e6cdfbb409,KASAN: slab-out-of-bounds Read in nfc_llcp_setsockopt,✅,❌
2e985c5ee64a7227f944dd304cd727109a1d4679,KASAN: slab-out-of-bounds Read in update_counters,✅,❌
